,0,1
14653,14,2
12434,4,6
19099,24,5
4584,21,5
13871,21,3
16711,18,9
19163,5,5
25068,8,3
805,25,2
122,25,1
1760,13,11
5004,31,5
21499,1,2
13171,24,1
3178,3,11
4031,16,2
7261,8,8
4533,18,1
8186,1,11
16678,16,12
5240,24,12
11915,25,3
15563,16,1
9876,22,5
10674,8,8
19469,14,6
19422,1,3
15325,25,4
18671,25,10
18417,15,3
10384,2,7
28403,21,6
15188,20,7
15133,2,10
10098,7,12
16447,31,8
23563,11,9
11535,2,2
15236,6,8
20834,20,12
17375,28,5
8292,2,11
8294,30,10
20075,7,6
11846,10,8
26778,8,10
14312,9,11
7221,27,3
15271,1,10
23106,13,12
5067,3,9
9806,5,7
17103,28,6
19109,2,2
19486,1,8
12454,3,9
7795,17,7
20070,18,10
8855,18,6
13851,14,11
3464,15,11
7067,27,2
6748,18,11
3580,6,8
9828,8,11
9838,19,2
9827,10,10
9839,26,10
7894,23,11
3621,24,10
17045,7,8
9852,24,10
11117,10,7
5035,12,1
19012,14,3
3745,26,6
4424,15,4
14220,24,4
8410,21,6
12975,23,10
5096,4,7
18867,22,9
25543,18,11
22665,23,2
7743,7,2
129,5,3
22682,18,6
5120,27,3
12972,30,7
15298,20,1
13423,7,9
20025,14,4
8421,21,7
14961,17,3
9826,30,5
19495,20,9
25196,26,10
14835,15,3
5117,14,8
4156,23,5
2307,29,1
19650,4,12
10832,4,9
5421,4,1
15618,19,10
7895,21,7
14083,12,12
3489,22,6
5449,23,10
689,4,7
5692,8,8
7517,7,3
18027,8,3
17605,18,6
6303,12,4
14316,28,6
24043,15,11
12541,12,2
418,2,7
30176,1,1
3086,18,6
22372,13,7
15310,2,6
22666,7,1
15574,29,7
25202,23,10
25201,17,12
3951,13,9
11799,8,11
2978,8,10
9324,1,9
12976,7,1
8695,6,9
3017,21,8
5362,13,9
3706,18,9
3608,23,5
10468,16,6
17393,24,9
150,4,1
20023,14,2
6290,30,10
14791,8,5
12281,5,9
1950,8,6
5121,10,1
16173,26,6
14581,19,10
14209,5,5
9147,23,8
5397,2,7
14206,20,5
14232,19,1
17139,30,5
15766,29,9
9037,8,3
2332,8,4
21251,27,12
21587,17,9
19460,22,1
6445,5,9
11072,16,12
11842,19,9
11119,22,12
14276,11,7
14235,2,7
624,13,6
20888,29,1
5122,27,5
11550,21,6
26883,3,6
7593,7,2
20420,17,12
3718,26,10
12176,24,9
23713,17,2
7910,6,8
3990,6,10
20776,2,11
14233,23,11
4297,26,12
13468,18,3
12695,13,7
23133,14,1
22613,4,1
9833,1,6
16288,21,8
13179,5,5
29140,28,9
5040,3,4
132,5,6
21834,1,10
7986,5,11
16969,19,1
15380,13,9
14969,26,2
7523,20,8
20336,17,9
5056,26,11
7506,14,2
7535,17,12
25382,25,1
7504,15,4
22756,4,11
3579,13,5
25081,18,5
25380,25,4
